Iterations,Accuracy (%),Agg,NonIID,Group
1039896,72.9266826923077,Gossip,True,global
1049895,72.7363782051282,Gossip,True,global
1059894,73.1670673076923,Gossip,True,global
1069893,73.03685897435898,Gossip,True,global
1079892,72.89663461538461,Gossip,True,global
1089891,72.39583333333333,Gossip,True,global
1099890,73.13701923076923,Gossip,True,global
1109889,73.7079326923077,Gossip,True,global
1119888,73.64783653846153,Gossip,True,global
1129887,73.29727564102564,Gossip,True,global
1139886,73.50761217948718,Gossip,True,global
1149885,73.76802884615384,Gossip,True,global
1159884,72.58613782051282,Gossip,True,global
1169883,73.40745192307692,Gossip,True,global
1179882,73.59775641025641,Gossip,True,global
1189881,72.87660256410257,Gossip,True,global
1199880,73.24719551282051,Gossip,True,global
1209879,73.37740384615384,Gossip,True,global
1219878,73.5176282051282,Gossip,True,global
1229877,73.4775641025641,Gossip,True,global
1239876,73.5176282051282,Gossip,True,global
1249875,73.3573717948718,Gossip,True,global
1259874,73.32732371794872,Gossip,True,global
1269873,73.1670673076923,Gossip,True,global
1279872,73.45753205128206,Gossip,True,global
1289871,73.63782051282051,Gossip,True,global
1299870,73.3974358974359,Gossip,True,global
1309869,73.5176282051282,Gossip,True,global
1319868,73.49759615384616,Gossip,True,global
1329867,73.42748397435898,Gossip,True,global
1339866,73.09695512820512,Gossip,True,global
1349865,73.59775641025641,Gossip,True,global
1359864,73.66786858974359,Gossip,True,global
1369863,73.54767628205128,Gossip,True,global
1379862,73.42748397435898,Gossip,True,global
1389861,73.49759615384616,Gossip,True,global
1399860,73.64783653846153,Gossip,True,global
1409859,73.54767628205128,Gossip,True,global
1419858,73.95833333333333,Gossip,True,global
1429857,73.61778846153847,Gossip,True,global
1439856,73.59775641025641,Gossip,True,global
1449855,73.69791666666667,Gossip,True,global
1459854,73.61778846153847,Gossip,True,global
1469853,73.72796474358974,Gossip,True,global
1479852,73.72796474358974,Gossip,True,global
1489851,73.56770833333333,Gossip,True,global
0,9.985977564102564,Gossip,True,clique 1
9999,10.84735576923077,Gossip,True,clique 1
19998,17.828525641025642,Gossip,True,clique 1
29997,18.24919871794872,Gossip,True,clique 1
39996,14.643429487179487,Gossip,True,clique 1
49995,17.09735576923077,Gossip,True,clique 1
59994,19.871794871794872,Gossip,True,clique 1
69993,26.252003205128204,Gossip,True,clique 1
79992,27.774439102564102,Gossip,True,clique 1
89991,30.829326923076923,Gossip,True,clique 1
99990,29.146634615384617,Gossip,True,clique 1
109989,32.12139423076923,Gossip,True,clique 1
119988,33.27323717948718,Gossip,True,clique 1
129987,35.08613782051282,Gossip,True,clique 1
139986,35.827323717948715,Gossip,True,clique 1
149985,36.53846153846154,Gossip,True,clique 1
159984,36.68870192307692,Gossip,True,clique 1
169983,37.239583333333336,Gossip,True,clique 1
179982,37.12940705128205,Gossip,True,clique 1
189981,37.68028846153846,Gossip,True,clique 1
199980,39.00240384615385,Gossip,True,clique 1
209979,39.65344551282051,Gossip,True,clique 1
219978,38.33133012820513,Gossip,True,clique 1
229977,40.26442307692308,Gossip,True,clique 1
239976,40.5849358974359,Gossip,True,clique 1
249975,40.95552884615385,Gossip,True,clique 1
259974,40.735176282051285,Gossip,True,clique 1
269973,41.03565705128205,Gossip,True,clique 1
279972,40.26442307692308,Gossip,True,clique 1
289971,40.99559294871795,Gossip,True,clique 1
299970,41.55649038461539,Gossip,True,clique 1
309969,40.85536858974359,Gossip,True,clique 1
319968,41.10576923076923,Gossip,True,clique 1
329967,40.544871794871796,Gossip,True,clique 1
339966,40.705128205128204,Gossip,True,clique 1
349965,40.68509615384615,Gossip,True,clique 1
359964,41.57652243589744,Gossip,True,clique 1
369963,41.76682692307692,Gossip,True,clique 1
379962,41.55649038461539,Gossip,True,clique 1
389961,40.85536858974359,Gossip,True,clique 1
399960,42.297676282051285,Gossip,True,clique 1
409959,42.58814102564103,Gossip,True,clique 1
419958,42.59815705128205,Gossip,True,clique 1
429957,41.897035256410255,Gossip,True,clique 1
439956,42.267628205128204,Gossip,True,clique 1
449955,41.4463141025641,Gossip,True,clique 1
459954,42.32772435897436,Gossip,True,clique 1
469953,42.107371794871796,Gossip,True,clique 1
479952,42.27764423076923,Gossip,True,clique 1
489951,43.52964743589744,Gossip,True,clique 1
499950,43.048878205128204,Gossip,True,clique 1
509949,43.19911858974359,Gossip,True,clique 1
