Iterations,Accuracy (%),$\delta_{\max}$,ATK,b,Group
930,54.05649038461539,0.0625,Dissensus,1,Clique A
960,54.06650641025641,0.0625,Dissensus,1,Clique A
990,54.10657051282051,0.0625,Dissensus,1,Clique A
1020,54.13661858974359,0.0625,Dissensus,1,Clique A
1050,54.14663461538461,0.0625,Dissensus,1,Clique A
1080,54.12660256410256,0.0625,Dissensus,1,Clique A
1110,54.20673076923077,0.0625,Dissensus,1,Clique A
1140,54.17668269230769,0.0625,Dissensus,1,Clique A
1170,54.186698717948715,0.0625,Dissensus,1,Clique A
1200,54.22676282051282,0.0625,Dissensus,1,Clique A
1230,54.26682692307692,0.0625,Dissensus,1,Clique A
1260,54.296875,0.0625,Dissensus,1,Clique A
1290,54.26682692307692,0.0625,Dissensus,1,Clique A
1320,54.28685897435897,0.0625,Dissensus,1,Clique A
1350,54.28685897435897,0.0625,Dissensus,1,Clique A
1380,54.32692307692308,0.0625,Dissensus,1,Clique A
1410,54.28685897435897,0.0625,Dissensus,1,Clique A
1440,54.27684294871795,0.0625,Dissensus,1,Clique A
1470,54.31690705128205,0.0625,Dissensus,1,Clique A
0,33.75400641025641,0.0625,Dissensus,1,Clique B
30,35.86738782051282,0.0625,Dissensus,1,Clique B
60,40.104166666666664,0.0625,Dissensus,1,Clique B
90,41.84695512820513,0.0625,Dissensus,1,Clique B
120,42.42788461538461,0.0625,Dissensus,1,Clique B
150,42.66826923076923,0.0625,Dissensus,1,Clique B
180,42.75841346153846,0.0625,Dissensus,1,Clique B
210,43.01883012820513,0.0625,Dissensus,1,Clique B
240,43.16907051282051,0.0625,Dissensus,1,Clique B
270,43.32932692307692,0.0625,Dissensus,1,Clique B
300,43.49959935897436,0.0625,Dissensus,1,Clique B
330,43.67988782051282,0.0625,Dissensus,1,Clique B
360,43.830128205128204,0.0625,Dissensus,1,Clique B
390,43.97035256410256,0.0625,Dissensus,1,Clique B
420,44.1005608974359,0.0625,Dissensus,1,Clique B
450,44.21073717948718,0.0625,Dissensus,1,Clique B
480,44.250801282051285,0.0625,Dissensus,1,Clique B
510,44.34094551282051,0.0625,Dissensus,1,Clique B
540,44.36097756410256,0.0625,Dissensus,1,Clique B
570,44.41105769230769,0.0625,Dissensus,1,Clique B
600,44.39102564102564,0.0625,Dissensus,1,Clique B
630,44.451121794871796,0.0625,Dissensus,1,Clique B
660,44.421073717948715,0.0625,Dissensus,1,Clique B
690,44.421073717948715,0.0625,Dissensus,1,Clique B
720,44.421073717948715,0.0625,Dissensus,1,Clique B
750,44.401041666666664,0.0625,Dissensus,1,Clique B
780,44.44110576923077,0.0625,Dissensus,1,Clique B
810,44.431089743589745,0.0625,Dissensus,1,Clique B
840,44.4911858974359,0.0625,Dissensus,1,Clique B
870,44.48116987179487,0.0625,Dissensus,1,Clique B
900,44.51121794871795,0.0625,Dissensus,1,Clique B
930,44.48116987179487,0.0625,Dissensus,1,Clique B
960,44.50120192307692,0.0625,Dissensus,1,Clique B
990,44.59134615384615,0.0625,Dissensus,1,Clique B
1020,44.56129807692308,0.0625,Dissensus,1,Clique B
1050,44.5713141025641,0.0625,Dissensus,1,Clique B
1080,44.60136217948718,0.0625,Dissensus,1,Clique B
1110,44.59134615384615,0.0625,Dissensus,1,Clique B
1140,44.59134615384615,0.0625,Dissensus,1,Clique B
1170,44.60136217948718,0.0625,Dissensus,1,Clique B
1200,44.611378205128204,0.0625,Dissensus,1,Clique B
1230,44.59134615384615,0.0625,Dissensus,1,Clique B
1260,44.58133012820513,0.0625,Dissensus,1,Clique B
1290,44.60136217948718,0.0625,Dissensus,1,Clique B
1320,44.60136217948718,0.0625,Dissensus,1,Clique B
1350,44.611378205128204,0.0625,Dissensus,1,Clique B
1380,44.59134615384615,0.0625,Dissensus,1,Clique B
1410,44.611378205128204,0.0625,Dissensus,1,Clique B
1440,44.60136217948718,0.0625,Dissensus,1,Clique B
1470,44.641426282051285,0.0625,Dissensus,1,Clique B
0,10.086137820512821,0.125,Dissensus,1,All
30,22.435897435897434,0.125,Dissensus,1,All
60,31.27003205128205,0.125,Dissensus,1,All
90,34.53525641025641,0.125,Dissensus,1,All
120,37.28966346153846,0.125,Dissensus,1,All
150,39.0224358974359,0.125,Dissensus,1,All
180,40.04407051282051,0.125,Dissensus,1,All
210,40.79527243589744,0.125,Dissensus,1,All
240,41.4463141025641,0.125,Dissensus,1,All
270,41.84695512820513,0.125,Dissensus,1,All
300,42.21754807692308,0.125,Dissensus,1,All
330,42.41786858974359,0.125,Dissensus,1,All
360,42.64823717948718,0.125,Dissensus,1,All
390,42.868589743589745,0.125,Dissensus,1,All
420,43.10897435897436,0.125,Dissensus,1,All
450,43.36939102564103,0.125,Dissensus,1,All
480,43.41947115384615,0.125,Dissensus,1,All
510,43.439503205128204,0.125,Dissensus,1,All
540,43.489583333333336,0.125,Dissensus,1,All
