Iterations,Accuracy (%),Agg,NonIID,Group
780,96.35416666666667,Gossip,False,clique 1
810,96.35416666666667,Gossip,False,clique 1
840,96.37419871794872,Gossip,False,clique 1
870,96.3641826923077,Gossip,False,clique 1
0,85.9775641025641,Gossip,False,clique 2
30,91.58653846153847,Gossip,False,clique 2
60,92.6983173076923,Gossip,False,clique 2
90,93.99038461538461,Gossip,False,clique 2
120,94.83173076923077,Gossip,False,clique 2
150,95.06209935897436,Gossip,False,clique 2
180,95.12219551282051,Gossip,False,clique 2
210,95.57291666666667,Gossip,False,clique 2
240,95.42267628205128,Gossip,False,clique 2
270,95.44270833333333,Gossip,False,clique 2
300,95.29246794871794,Gossip,False,clique 2
330,95.6630608974359,Gossip,False,clique 2
360,95.93349358974359,Gossip,False,clique 2
390,95.85336538461539,Gossip,False,clique 2
420,96.18389423076923,Gossip,False,clique 2
450,96.1338141025641,Gossip,False,clique 2
480,96.10376602564102,Gossip,False,clique 2
510,96.3641826923077,Gossip,False,clique 2
540,96.23397435897436,Gossip,False,clique 2
570,96.26402243589743,Gossip,False,clique 2
600,96.26402243589743,Gossip,False,clique 2
630,96.30408653846153,Gossip,False,clique 2
660,96.32411858974359,Gossip,False,clique 2
690,96.4042467948718,Gossip,False,clique 2
720,96.47435897435898,Gossip,False,clique 2
750,96.4443108974359,Gossip,False,clique 2
780,96.41426282051282,Gossip,False,clique 2
810,96.43429487179488,Gossip,False,clique 2
840,96.4443108974359,Gossip,False,clique 2
870,96.4443108974359,Gossip,False,clique 2
0,79.23677884615384,Gossip,True,global
30,84.43509615384616,Gossip,True,global
60,86.80889423076923,Gossip,True,global
90,88.4014423076923,Gossip,True,global
120,89.1826923076923,Gossip,True,global
150,90.04407051282051,Gossip,True,global
180,90.01402243589743,Gossip,True,global
210,90.04407051282051,Gossip,True,global
240,90.234375,Gossip,True,global
270,90.68509615384616,Gossip,True,global
300,90.68509615384616,Gossip,True,global
330,91.08573717948718,Gossip,True,global
360,90.72516025641026,Gossip,True,global
390,91.16586538461539,Gossip,True,global
