Iterations,Accuracy (%),Agg,Bucketing,RandomEdge,Group
720,50.69110576923077,GM,False,True,clique 1
750,50.701121794871796,GM,False,True,clique 1
780,50.76121794871795,GM,False,True,clique 1
810,50.84134615384615,GM,False,True,clique 1
840,51.02163461538461,GM,False,True,clique 1
870,51.20192307692308,GM,False,True,clique 1
0,44.240785256410255,GM,False,True,clique 2
30,45.76322115384615,GM,False,True,clique 2
60,46.15384615384615,GM,False,True,clique 2
90,46.4443108974359,GM,False,True,clique 2
120,46.65464743589744,GM,False,True,clique 2
150,46.9150641025641,GM,False,True,clique 2
180,46.764823717948715,GM,False,True,clique 2
210,47.005208333333336,GM,False,True,clique 2
240,46.84495192307692,GM,False,True,clique 2
270,46.975160256410255,GM,False,True,clique 2
300,46.93509615384615,GM,False,True,clique 2
330,47.165464743589745,GM,False,True,clique 2
360,47.19551282051282,GM,False,True,clique 2
390,46.90504807692308,GM,False,True,clique 2
420,47.165464743589745,GM,False,True,clique 2
450,47.155448717948715,GM,False,True,clique 2
480,47.20552884615385,GM,False,True,clique 2
510,47.185496794871796,GM,False,True,clique 2
540,47.185496794871796,GM,False,True,clique 2
570,47.17548076923077,GM,False,True,clique 2
600,47.14543269230769,GM,False,True,clique 2
630,47.14543269230769,GM,False,True,clique 2
660,47.135416666666664,GM,False,True,clique 2
690,47.135416666666664,GM,False,True,clique 2
720,47.14543269230769,GM,False,True,clique 2
750,47.135416666666664,GM,False,True,clique 2
780,47.17548076923077,GM,False,True,clique 2
810,47.19551282051282,GM,False,True,clique 2
840,47.20552884615385,GM,False,True,clique 2
870,47.28565705128205,GM,False,True,clique 2
0,77.82451923076923,MOZI,False,False,global
30,82.09134615384616,MOZI,False,False,global
60,82.84254807692308,MOZI,False,False,global
90,83.30328525641026,MOZI,False,False,global
120,83.39342948717949,MOZI,False,False,global
150,83.74399038461539,MOZI,False,False,global
180,84.40504807692308,MOZI,False,False,global
210,84.54527243589743,MOZI,False,False,global
240,85.70713141025641,MOZI,False,False,global
270,85.61698717948718,MOZI,False,False,global
300,85.78725961538461,MOZI,False,False,global
330,86.328125,MOZI,False,False,global
360,86.46834935897436,MOZI,False,False,global
390,86.5985576923077,MOZI,False,False,global
420,86.7988782051282,MOZI,False,False,global
450,86.97916666666667,MOZI,False,False,global
480,87.34975961538461,MOZI,False,False,global
510,86.80889423076923,MOZI,False,False,global
540,87.3798076923077,MOZI,False,False,global
570,87.73036858974359,MOZI,False,False,global
600,86.7588141025641,MOZI,False,False,global
630,87.67027243589743,MOZI,False,False,global
660,87.72035256410257,MOZI,False,False,global
690,87.21955128205128,MOZI,False,False,global
720,87.90064102564102,MOZI,False,False,global
750,87.890625,MOZI,False,False,global
780,87.36979166666667,MOZI,False,False,global
810,87.90064102564102,MOZI,False,False,global
840,87.83052884615384,MOZI,False,False,global
870,87.74038461538461,MOZI,False,False,global
0,48.50761217948718,MOZI,False,False,clique 1
30,49.48918269230769,MOZI,False,False,clique 1
60,49.61939102564103,MOZI,False,False,clique 1
90,49.79967948717949,MOZI,False,False,clique 1
120,49.92988782051282,MOZI,False,False,clique 1
150,50.100160256410255,MOZI,False,False,clique 1
180,50.12019230769231,MOZI,False,False,clique 1
210,50.18028846153846,MOZI,False,False,clique 1
240,50.24038461538461,MOZI,False,False,clique 1
270,50.32051282051282,MOZI,False,False,clique 1
300,50.3505608974359,MOZI,False,False,clique 1
330,50.4306891025641,MOZI,False,False,clique 1
360,50.38060897435897,MOZI,False,False,clique 1
390,50.42067307692308,MOZI,False,False,clique 1
420,50.46073717948718,MOZI,False,False,clique 1
450,50.44070512820513,MOZI,False,False,clique 1
480,50.44070512820513,MOZI,False,False,clique 1
510,50.53084935897436,MOZI,False,False,clique 1
540,50.490785256410255,MOZI,False,False,clique 1
570,50.55088141025641,MOZI,False,False,clique 1
600,50.55088141025641,MOZI,False,False,clique 1
630,50.54086538461539,MOZI,False,False,clique 1
660,50.60096153846154,MOZI,False,False,clique 1
690,50.59094551282051,MOZI,False,False,clique 1
720,50.61097756410256,MOZI,False,False,clique 1
750,50.63100961538461,MOZI,False,False,clique 1
780,50.62099358974359,MOZI,False,False,clique 1
810,50.61097756410256,MOZI,False,False,clique 1
840,50.61097756410256,MOZI,False,False,clique 1
870,50.66105769230769,MOZI,False,False,clique 1
0,42.62820512820513,MOZI,False,False,clique 2
30,44.44110576923077,MOZI,False,False,clique 2
60,44.841746794871796,MOZI,False,False,clique 2
90,45.24238782051282,MOZI,False,False,clique 2
120,45.3125,MOZI,False,False,clique 2
150,45.69310897435897,MOZI,False,False,clique 2
180,46.013621794871796,MOZI,False,False,clique 2
210,46.14383012820513,MOZI,False,False,clique 2
240,46.25400641025641,MOZI,False,False,clique 2
270,46.32411858974359,MOZI,False,False,clique 2
300,46.374198717948715,MOZI,False,False,clique 2
330,46.54447115384615,MOZI,False,False,clique 2
360,46.55448717948718,MOZI,False,False,clique 2
390,46.60456730769231,MOZI,False,False,clique 2
420,46.70472756410256,MOZI,False,False,clique 2
450,46.764823717948715,MOZI,False,False,clique 2
480,46.794871794871796,MOZI,False,False,clique 2
510,46.82491987179487,MOZI,False,False,clique 2
540,46.94511217948718,MOZI,False,False,clique 2
570,46.955128205128204,MOZI,False,False,clique 2
600,46.86498397435897,MOZI,False,False,clique 2
630,47.02524038461539,MOZI,False,False,clique 2
660,47.05528846153846,MOZI,False,False,clique 2
690,47.06530448717949,MOZI,False,False,clique 2
720,47.06530448717949,MOZI,False,False,clique 2
750,47.11538461538461,MOZI,False,False,clique 2
780,47.12540064102564,MOZI,False,False,clique 2
810,47.135416666666664,MOZI,False,False,clique 2
840,47.165464743589745,MOZI,False,False,clique 2
870,47.2255608974359,MOZI,False,False,clique 2
0,77.78445512820512,MOZI,False,True,global
30,81.9511217948718,MOZI,False,True,global
60,82.87259615384616,MOZI,False,True,global
90,83.2431891025641,MOZI,False,True,global
120,83.48357371794872,MOZI,False,True,global
150,83.7139423076923,MOZI,False,True,global
180,84.44511217948718,MOZI,False,True,global
210,84.71554487179488,MOZI,False,True,global
240,85.69711538461539,MOZI,False,True,global
270,85.6270032051282,MOZI,False,True,global
300,85.92748397435898,MOZI,False,True,global
330,86.4483173076923,MOZI,False,True,global
360,86.61858974358974,MOZI,False,True,global
390,86.55849358974359,MOZI,False,True,global
420,86.85897435897436,MOZI,False,True,global
450,87.03926282051282,MOZI,False,True,global
480,87.48998397435898,MOZI,False,True,global
510,86.85897435897436,MOZI,False,True,global
540,87.44991987179488,MOZI,False,True,global
570,87.70032051282051,MOZI,False,True,global
600,87.08934294871794,MOZI,False,True,global
630,87.60016025641026,MOZI,False,True,global
660,87.86057692307692,MOZI,False,True,global
690,87.2295673076923,MOZI,False,True,global
720,87.71033653846153,MOZI,False,True,global
750,87.68028846153847,MOZI,False,True,global
780,87.31971153846153,MOZI,False,True,global
810,87.87059294871794,MOZI,False,True,global
840,87.66025641025641,MOZI,False,True,global
870,87.66025641025641,MOZI,False,True,global
0,48.48758012820513,MOZI,False,True,clique 1
30,49.48918269230769,MOZI,False,True,clique 1
60,49.67948717948718,MOZI,False,True,clique 1
90,49.81971153846154,MOZI,False,True,clique 1
120,49.899839743589745,MOZI,False,True,clique 1
150,50.05008012820513,MOZI,False,True,clique 1
180,50.110176282051285,MOZI,False,True,clique 1
210,50.18028846153846,MOZI,False,True,clique 1
240,50.260416666666664,MOZI,False,True,clique 1
270,50.290464743589745,MOZI,False,True,clique 1
300,50.33052884615385,MOZI,False,True,clique 1
330,50.38060897435897,MOZI,False,True,clique 1
360,50.37059294871795,MOZI,False,True,clique 1
390,50.4306891025641,MOZI,False,True,clique 1
420,50.490785256410255,MOZI,False,True,clique 1
450,50.44070512820513,MOZI,False,True,clique 1
480,50.4306891025641,MOZI,False,True,clique 1
510,50.51081730769231,MOZI,False,True,clique 1
540,50.500801282051285,MOZI,False,True,clique 1
570,50.54086538461539,MOZI,False,True,clique 1
600,50.55088141025641,MOZI,False,True,clique 1
630,50.520833333333336,MOZI,False,True,clique 1
660,50.56089743589744,MOZI,False,True,clique 1
690,50.59094551282051,MOZI,False,True,clique 1
720,50.58092948717949,MOZI,False,True,clique 1
750,50.64102564102564,MOZI,False,True,clique 1
780,50.63100961538461,MOZI,False,True,clique 1
810,50.61097756410256,MOZI,False,True,clique 1
840,50.61097756410256,MOZI,False,True,clique 1
870,50.651041666666664,MOZI,False,True,clique 1
0,42.71834935897436,MOZI,False,True,clique 2
30,44.451121794871796,MOZI,False,True,clique 2
60,44.811698717948715,MOZI,False,True,clique 2
90,45.24238782051282,MOZI,False,True,clique 2
120,45.30248397435897,MOZI,False,True,clique 2
150,45.572916666666664,MOZI,False,True,clique 2
180,46.00360576923077,MOZI,False,True,clique 2
210,46.12379807692308,MOZI,False,True,clique 2
240,46.23397435897436,MOZI,False,True,clique 2
270,46.384214743589745,MOZI,False,True,clique 2
300,46.384214743589745,MOZI,False,True,clique 2
330,46.53445512820513,MOZI,False,True,clique 2
360,46.54447115384615,MOZI,False,True,clique 2
390,46.594551282051285,MOZI,False,True,clique 2
420,46.66466346153846,MOZI,False,True,clique 2
450,46.68469551282051,MOZI,False,True,clique 2
480,46.78485576923077,MOZI,False,True,clique 2
510,46.85496794871795,MOZI,False,True,clique 2
540,46.94511217948718,MOZI,False,True,clique 2
570,46.93509615384615,MOZI,False,True,clique 2
600,46.8349358974359,MOZI,False,True,clique 2
630,47.03525641025641,MOZI,False,True,clique 2
660,47.005208333333336,MOZI,False,True,clique 2
690,47.05528846153846,MOZI,False,True,clique 2
720,47.08533653846154,MOZI,False,True,clique 2
750,47.11538461538461,MOZI,False,True,clique 2
780,47.09535256410256,MOZI,False,True,clique 2
810,47.14543269230769,MOZI,False,True,clique 2
840,47.14543269230769,MOZI,False,True,clique 2
870,47.19551282051282,MOZI,False,True,clique 2
0,78.23517628205128,TM,False,False,global
30,84.09455128205128,TM,False,False,global
60,85.36658653846153,TM,False,False,global
90,85.64703525641026,TM,False,False,global
120,86.22796474358974,TM,False,False,global
150,86.9891826923077,TM,False,False,global
180,86.49839743589743,TM,False,False,global
210,85.99759615384616,TM,False,False,global
240,85.13621794871794,TM,False,False,global
270,85.09615384615384,TM,False,False,global
300,85.56690705128206,TM,False,False,global
330,86.2880608974359,TM,False,False,global
360,87.36979166666667,TM,False,False,global
390,88.25120192307692,TM,False,False,global
420,87.60016025641026,TM,False,False,global
450,86.88902243589743,TM,False,False,global
480,85.86738782051282,TM,False,False,global
510,85.95753205128206,TM,False,False,global
540,86.77884615384616,TM,False,False,global
570,87.1494391025641,TM,False,False,global
600,86.88902243589743,TM,False,False,global
630,86.93910256410257,TM,False,False,global
660,86.92908653846153,TM,False,False,global
690,86.89903846153847,TM,False,False,global
720,86.89903846153847,TM,False,False,global
750,86.88902243589743,TM,False,False,global
780,86.92908653846153,TM,False,False,global
810,86.90905448717949,TM,False,False,global
840,86.89903846153847,TM,False,False,global
870,86.88902243589743,TM,False,False,global
0,49.27884615384615,TM,False,False,clique 1
30,49.78966346153846,TM,False,False,clique 1
60,50.14022435897436,TM,False,False,clique 1
90,50.37059294871795,TM,False,False,clique 1
