Iterations,Accuracy (%),Agg,ATK,Group,H.M.E.
300,9.805689102564102,GM,ALIE,global,True
330,9.805689102564102,GM,ALIE,global,True
360,9.805689102564102,GM,ALIE,global,True
390,9.805689102564102,GM,ALIE,global,True
420,9.805689102564102,GM,ALIE,global,True
450,9.805689102564102,GM,ALIE,global,True
480,9.805689102564102,GM,ALIE,global,True
510,9.805689102564102,GM,ALIE,global,True
540,9.805689102564102,GM,ALIE,global,True
570,9.805689102564102,GM,ALIE,global,True
600,9.805689102564102,GM,ALIE,global,True
630,9.805689102564102,GM,ALIE,global,True
660,9.805689102564102,GM,ALIE,global,True
690,9.805689102564102,GM,ALIE,global,True
720,9.805689102564102,GM,ALIE,global,True
750,9.805689102564102,GM,ALIE,global,True
780,9.805689102564102,GM,ALIE,global,True
810,9.805689102564102,GM,ALIE,global,True
840,9.805689102564102,GM,ALIE,global,True
870,9.805689102564102,GM,ALIE,global,True
0,79.84775641025641,GM,Dissensus,global,False
30,81.48036858974359,GM,Dissensus,global,False
60,84.3349358974359,GM,Dissensus,global,False
90,84.38501602564102,GM,Dissensus,global,False
120,81.32011217948718,GM,Dissensus,global,False
150,34.4150641025641,GM,Dissensus,global,False
180,23.197115384615383,GM,Dissensus,global,False
210,21.66466346153846,GM,Dissensus,global,False
240,28.53565705128205,GM,Dissensus,global,False
270,1.2720352564102564,GM,Dissensus,global,False
300,2.043269230769231,GM,Dissensus,global,False
330,10.446714743589743,GM,Dissensus,global,False
360,10.657051282051283,GM,Dissensus,global,False
390,11.02764423076923,GM,Dissensus,global,False
420,14.092548076923077,GM,Dissensus,global,False
450,11.348157051282051,GM,Dissensus,global,False
480,11.348157051282051,GM,Dissensus,global,False
510,9.805689102564102,GM,Dissensus,global,False
540,9.805689102564102,GM,Dissensus,global,False
570,9.805689102564102,GM,Dissensus,global,False
600,9.805689102564102,GM,Dissensus,global,False
630,9.805689102564102,GM,Dissensus,global,False
660,9.805689102564102,GM,Dissensus,global,False
690,9.805689102564102,GM,Dissensus,global,False
720,9.805689102564102,GM,Dissensus,global,False
750,9.805689102564102,GM,Dissensus,global,False
780,9.805689102564102,GM,Dissensus,global,False
810,9.805689102564102,GM,Dissensus,global,False
840,9.805689102564102,GM,Dissensus,global,False
870,9.805689102564102,GM,Dissensus,global,False
0,82.0713141025641,GM,Dissensus,global,True
30,87.4198717948718,GM,Dissensus,global,True
60,88.93229166666667,GM,Dissensus,global,True
90,88.03084935897436,GM,Dissensus,global,True
120,88.5516826923077,GM,Dissensus,global,True
150,89.35296474358974,GM,Dissensus,global,True
180,89.32291666666667,GM,Dissensus,global,True
210,89.55328525641026,GM,Dissensus,global,True
240,89.5733173076923,GM,Dissensus,global,True
270,89.4931891025641,GM,Dissensus,global,True
300,89.59334935897436,GM,Dissensus,global,True
330,89.31290064102564,GM,Dissensus,global,True
360,89.1025641025641,GM,Dissensus,global,True
390,89.34294871794872,GM,Dissensus,global,True
420,89.29286858974359,GM,Dissensus,global,True
450,89.50320512820512,GM,Dissensus,global,True
480,89.29286858974359,GM,Dissensus,global,True
510,89.32291666666667,GM,Dissensus,global,True
540,89.3329326923077,GM,Dissensus,global,True
570,89.35296474358974,GM,Dissensus,global,True
600,89.3329326923077,GM,Dissensus,global,True
630,89.3329326923077,GM,Dissensus,global,True
660,89.34294871794872,GM,Dissensus,global,True
690,89.35296474358974,GM,Dissensus,global,True
720,89.36298076923077,GM,Dissensus,global,True
750,89.35296474358974,GM,Dissensus,global,True
780,89.34294871794872,GM,Dissensus,global,True
810,89.36298076923077,GM,Dissensus,global,True
840,89.34294871794872,GM,Dissensus,global,True
870,89.30288461538461,GM,Dissensus,global,True
0,87.9707532051282,MOZI,IPM,global,False
30,92.44791666666667,MOZI,IPM,global,False
60,93.71995192307692,MOZI,IPM,global,False
90,93.46955128205128,MOZI,IPM,global,False
120,93.96033653846153,MOZI,IPM,global,False
150,94.73157051282051,MOZI,IPM,global,False
180,94.86177884615384,MOZI,IPM,global,False
210,94.89182692307692,MOZI,IPM,global,False
240,94.87179487179488,MOZI,IPM,global,False
270,95.07211538461539,MOZI,IPM,global,False
300,95.20232371794872,MOZI,IPM,global,False
330,95.18229166666667,MOZI,IPM,global,False
360,95.17227564102564,MOZI,IPM,global,False
390,95.16225961538461,MOZI,IPM,global,False
420,95.30248397435898,MOZI,IPM,global,False
450,95.29246794871794,MOZI,IPM,global,False
480,95.30248397435898,MOZI,IPM,global,False
510,95.37259615384616,MOZI,IPM,global,False
540,95.50280448717949,MOZI,IPM,global,False
570,95.3926282051282,MOZI,IPM,global,False
600,95.46274038461539,MOZI,IPM,global,False
630,95.55288461538461,MOZI,IPM,global,False
660,95.6229967948718,MOZI,IPM,global,False
690,95.55288461538461,MOZI,IPM,global,False
720,95.52283653846153,MOZI,IPM,global,False
750,95.6229967948718,MOZI,IPM,global,False
780,95.67307692307692,MOZI,IPM,global,False
810,95.6229967948718,MOZI,IPM,global,False
840,95.59294871794872,MOZI,IPM,global,False
870,95.65304487179488,MOZI,IPM,global,False
0,86.95913461538461,MOZI,IPM,global,True
30,91.76682692307692,MOZI,IPM,global,True
60,92.80849358974359,MOZI,IPM,global,True
90,93.81009615384616,MOZI,IPM,global,True
120,93.86017628205128,MOZI,IPM,global,True
150,93.88020833333333,MOZI,IPM,global,True
180,94.21073717948718,MOZI,IPM,global,True
210,94.28084935897436,MOZI,IPM,global,True
240,94.33092948717949,MOZI,IPM,global,True
270,94.30088141025641,MOZI,IPM,global,True
300,94.48116987179488,MOZI,IPM,global,True
330,94.66145833333333,MOZI,IPM,global,True
360,94.68149038461539,MOZI,IPM,global,True
390,94.59134615384616,MOZI,IPM,global,True
420,94.74158653846153,MOZI,IPM,global,True
450,94.83173076923077,MOZI,IPM,global,True
480,94.85176282051282,MOZI,IPM,global,True
510,94.71153846153847,MOZI,IPM,global,True
540,94.94190705128206,MOZI,IPM,global,True
570,95.03205128205128,MOZI,IPM,global,True
600,95.02203525641026,MOZI,IPM,global,True
630,94.98197115384616,MOZI,IPM,global,True
660,95.11217948717949,MOZI,IPM,global,True
690,95.13221153846153,MOZI,IPM,global,True
720,95.16225961538461,MOZI,IPM,global,True
750,95.17227564102564,MOZI,IPM,global,True
780,95.14222756410257,MOZI,IPM,global,True
810,95.16225961538461,MOZI,IPM,global,True
840,95.2724358974359,MOZI,IPM,global,True
870,95.2323717948718,MOZI,IPM,global,True
0,87.9707532051282,MOZI,ALIE,global,False
30,92.44791666666667,MOZI,ALIE,global,False
60,93.71995192307692,MOZI,ALIE,global,False
90,93.46955128205128,MOZI,ALIE,global,False
120,93.96033653846153,MOZI,ALIE,global,False
150,94.73157051282051,MOZI,ALIE,global,False
180,94.86177884615384,MOZI,ALIE,global,False
210,94.89182692307692,MOZI,ALIE,global,False
240,94.87179487179488,MOZI,ALIE,global,False
270,95.07211538461539,MOZI,ALIE,global,False
300,95.20232371794872,MOZI,ALIE,global,False
330,95.18229166666667,MOZI,ALIE,global,False
360,95.17227564102564,MOZI,ALIE,global,False
390,95.16225961538461,MOZI,ALIE,global,False
420,95.30248397435898,MOZI,ALIE,global,False
450,95.29246794871794,MOZI,ALIE,global,False
480,95.30248397435898,MOZI,ALIE,global,False
510,95.37259615384616,MOZI,ALIE,global,False
540,95.50280448717949,MOZI,ALIE,global,False
570,95.3926282051282,MOZI,ALIE,global,False
600,95.46274038461539,MOZI,ALIE,global,False
630,95.55288461538461,MOZI,ALIE,global,False
660,95.6229967948718,MOZI,ALIE,global,False
690,95.55288461538461,MOZI,ALIE,global,False
720,95.52283653846153,MOZI,ALIE,global,False
750,95.6229967948718,MOZI,ALIE,global,False
780,95.67307692307692,MOZI,ALIE,global,False
810,95.6229967948718,MOZI,ALIE,global,False
840,95.59294871794872,MOZI,ALIE,global,False
870,95.65304487179488,MOZI,ALIE,global,False
0,86.95913461538461,MOZI,ALIE,global,True
30,91.76682692307692,MOZI,ALIE,global,True
60,92.80849358974359,MOZI,ALIE,global,True
90,93.81009615384616,MOZI,ALIE,global,True
120,93.86017628205128,MOZI,ALIE,global,True
150,93.88020833333333,MOZI,ALIE,global,True
180,94.21073717948718,MOZI,ALIE,global,True
210,94.28084935897436,MOZI,ALIE,global,True
240,94.33092948717949,MOZI,ALIE,global,True
270,94.30088141025641,MOZI,ALIE,global,True
300,94.48116987179488,MOZI,ALIE,global,True
330,94.66145833333333,MOZI,ALIE,global,True
360,94.68149038461539,MOZI,ALIE,global,True
390,94.59134615384616,MOZI,ALIE,global,True
420,94.74158653846153,MOZI,ALIE,global,True
450,94.83173076923077,MOZI,ALIE,global,True
480,94.85176282051282,MOZI,ALIE,global,True
510,94.71153846153847,MOZI,ALIE,global,True
540,94.94190705128206,MOZI,ALIE,global,True
570,95.03205128205128,MOZI,ALIE,global,True
600,95.02203525641026,MOZI,ALIE,global,True
630,94.98197115384616,MOZI,ALIE,global,True
660,95.11217948717949,MOZI,ALIE,global,True
690,95.13221153846153,MOZI,ALIE,global,True
720,95.16225961538461,MOZI,ALIE,global,True
750,95.17227564102564,MOZI,ALIE,global,True
780,95.14222756410257,MOZI,ALIE,global,True
810,95.16225961538461,MOZI,ALIE,global,True
840,95.2724358974359,MOZI,ALIE,global,True
870,95.2323717948718,MOZI,ALIE,global,True
0,88.00080128205128,MOZI,Dissensus,global,False
30,91.66666666666667,MOZI,Dissensus,global,False
60,93.15905448717949,MOZI,Dissensus,global,False
90,93.29927884615384,MOZI,Dissensus,global,False
120,93.359375,MOZI,Dissensus,global,False
150,93.72996794871794,MOZI,Dissensus,global,False
180,93.91025641025641,MOZI,Dissensus,global,False
210,93.84014423076923,MOZI,Dissensus,global,False
240,93.8701923076923,MOZI,Dissensus,global,False
270,93.89022435897436,MOZI,Dissensus,global,False
300,94.09054487179488,MOZI,Dissensus,global,False
330,94.21073717948718,MOZI,Dissensus,global,False
360,94.2207532051282,MOZI,Dissensus,global,False
390,94.24078525641026,MOZI,Dissensus,global,False
420,93.93028846153847,MOZI,Dissensus,global,False
450,94.25080128205128,MOZI,Dissensus,global,False
480,94.24078525641026,MOZI,Dissensus,global,False
510,94.17067307692308,MOZI,Dissensus,global,False
540,94.53125,MOZI,Dissensus,global,False
570,93.61979166666667,MOZI,Dissensus,global,False
600,93.48958333333333,MOZI,Dissensus,global,False
630,93.86017628205128,MOZI,Dissensus,global,False
660,93.7099358974359,MOZI,Dissensus,global,False
690,94.47115384615384,MOZI,Dissensus,global,False
720,93.60977564102564,MOZI,Dissensus,global,False
750,93.46955128205128,MOZI,Dissensus,global,False
780,93.53966346153847,MOZI,Dissensus,global,False
810,92.8886217948718,MOZI,Dissensus,global,False
840,94.54126602564102,MOZI,Dissensus,global,False
870,93.6298076923077,MOZI,Dissensus,global,False
0,86.95913461538461,MOZI,Dissensus,global,True
30,91.76682692307692,MOZI,Dissensus,global,True
60,92.80849358974359,MOZI,Dissensus,global,True
90,93.81009615384616,MOZI,Dissensus,global,True
120,93.86017628205128,MOZI,Dissensus,global,True
150,93.88020833333333,MOZI,Dissensus,global,True
180,94.21073717948718,MOZI,Dissensus,global,True
210,94.28084935897436,MOZI,Dissensus,global,True
240,94.33092948717949,MOZI,Dissensus,global,True
270,94.30088141025641,MOZI,Dissensus,global,True
300,94.48116987179488,MOZI,Dissensus,global,True
330,94.66145833333333,MOZI,Dissensus,global,True
360,94.68149038461539,MOZI,Dissensus,global,True
390,94.59134615384616,MOZI,Dissensus,global,True
420,94.74158653846153,MOZI,Dissensus,global,True
450,94.83173076923077,MOZI,Dissensus,global,True
480,94.85176282051282,MOZI,Dissensus,global,True
510,94.71153846153847,MOZI,Dissensus,global,True
540,94.94190705128206,MOZI,Dissensus,global,True
570,95.03205128205128,MOZI,Dissensus,global,True
600,95.02203525641026,MOZI,Dissensus,global,True
630,94.98197115384616,MOZI,Dissensus,global,True
660,95.11217948717949,MOZI,Dissensus,global,True
690,95.13221153846153,MOZI,Dissensus,global,True
